address,num_room,district,age,sa,sap,gfa,gfap,price,monthly,convenience,efficiency,region
Chelsea Court・TOWER SOUTH (A2),2,Tsuen Wan West,19,464,13750,647,9860,6.38,21644,10,71,NT West
TSEUNG KWAN O PLAZA・PHASE 1・TOWER 3,2,Tseung Kwan O,21,429,15850,590,11525,6.8,23069,5,72,NT East
Ocean Shores・PHASE 3・Tower 16,2,Tiu Keng Leng,21,517,14294,707,10452,7.39,25071,5,73,NT East
PARK CENTRAL・PHASE 1・TOWER 5,3,Tseung Kwan O,22,684,13888,899,10567,9.5,32229,5,76,NT East
Festival City・PHASE 3・Tower 3,3,Tai Wai,12,958,16492,1264,12500,15.8,45945,2,75,NT West
The Wings・II・Tower 3A,3,Tseung Kwan O,10,1000,19800,1250,15840,19.8,57576,4,80,NT East
THE METRO CITY・PHASE 1・TOWER 2,3,Po Lam,27,526,12167,732,8743,6.4,21712,3,71,NT East
Chelsea Court・TOWER SOUTH (A2),2,Tsuen Wan West,19,474,12658,648,9259,6.0,20355,10,73,NT West
THE GRANDIOSE・BLOCK 3,2,Tseung Kwan O,18,456,14912,600,11333,6.8,23069,3,76,NT East
TSEUNG KWAN O PLAZA・PHASE 1・TOWER 1,2,Tseung Kwan O,21,429,15104,589,11001,6.48,21984,5,72,NT East
The Palazzo・BLOCK 1,3,Fo Tan,15,680,19970,888,15292,13.58,46071,3,76,NT East
The Belcher's・Phase 1・Tower 1,5,Mid-Levels West,23,1447,31098,1831,24576,45.0,109046,2,79,HK Island
VISION CITY・BLOCK 6,2,Tsuen Wan West,17,508,17716,671,13412,9.0,30533,10,75,NT West
TSEUNG KWAN O PLAZA・PHASE 2・TOWER 7,3,Tseung Kwan O,20,728,13873,985,10253,10.1,34265,3,73,NT East
VISION CITY・BLOCK 5,3,Tsuen Wan West,17,742,18059,986,13590,13.4,45460,10,75,NT West
Chelsea Court・TOWER WEST (B1),2,Tsuen Wan West,19,464,13577,643,9797,6.3,21373,10,72,NT West
DISCOVERY PARK・PHASE 3・BLOCK 10,2,Discovery Park,26,493,12738,610,10295,6.28,21305,6,80,NT West
TSUEN WAN PLAZA・BLOCK 1,2,Tsuen Wan Town Centre,33,433,15011,542,11992,6.5,22052,8,79,NT West
Chelsea Court・TOWER NORTH (B2),1,Tsuen Wan West,19,450,13000,608,9621,5.85,19846,10,74,NT West
INDI HOME,1,Tsuen Wan West,19,312,16666,433,12009,5.2,17641,9,72,NT West
The Metro City・PHASE 2・Tower 5,3,Po Lam,24,713,12061,992,8669,8.6,29176,7,71,NT East
THE BELCHER'S・PHASE 1・TOWER 1,3,Mid-Levels West,23,1221,24570,1597,18785,30.0,87237,2,76,HK Island
VISION CITY・BLOCK 1,2,Tsuen Wan West,17,508,20826,671,15767,10.58,35893,10,75,NT West
Discovery Park・Phase 1・Block 3,3,Discovery Park,27,582,13402,723,10788,7.8,26462,1,80,NT West
Marinella・Tower 1,3,Deep Bay,12,1368,26681,1799,20289,36.5,88449,5,76,NT East
The Belcher's・Phase 2・Tower 5,3,Mid-Levels West,22,1111,27002,1409,21291,30.0,87237,2,78,HK Island
Man Lai Court・BLOCK 4,2,Tai Wai,31,637,13343,750,11333,8.5,28837,5,84,NT West
THE METRO CITY・PHASE 2・TOWER 5,3,Po Lam,24,659,12716,926,9049,8.38,28430,7,71,NT East
LUK YEUNG SUN CHUEN・BLOCK J,2,Luk Yeung,41,445,13932,511,12133,6.2,21034,4,87,NT West
DISCOVERY PARK・PHASE 3・BLOCK 9,3,Discovery Park,26,652,14723,811,11837,9.6,32568,6,80,NT West
CHELSEA COURT・TOWER NORTH (B2),2,Tsuen Wan West,19,471,14437,646,10526,6.8,23069,10,72,NT West
The Belcher's・Phase 1・Tower 1,5,Mid-Levels West,23,1413,27600,1830,21311,39.0,94507,2,77,HK Island
Tsuen Wan Town Square・Block A,3,Tsuen Wan Town Centre,34,608,13980,787,10800,8.5,28837,5,77,NT West
The Beaumount・Phase 1・Tower 1,2,Lohas Park,10,498,11686,658,8844,5.82,19745,10,75,NT West
VISION CITY・BLOCK 6,2,Tsuen Wan West,17,523,17934,687,13653,9.38,31822,10,76,NT West
PARK TOWERS・TOWER 1,2,Tin Hau,35,998,33567,1276,26253,33.5,81179,1,78,HK Island
HOLLYWOOD TERRACE・BLOCK A,2,Sheung Wan,24,616,20292,757,16512,12.5,42407,6,81,HK Island
PRIMROSE HILL・TOWER 2,3,Tai Wo Hau,14,642,19470,840,14880,12.5,42407,6,76,NT West
BROADVIEW TERRACE,3,North Point Mid-Levels,50,1035,16908,1277,13703,17.5,50888,11,81,HK Island
THE MERTON・TOWER 1,3,Kennedy Town,19,651,22427,887,16459,14.6,49531,6,73,HK Island
OCEAN SHORES・Phase 1・TOWER 1,3,Tiu Keng Leng,23,658,13677,893,10078,9.0,30533,10,73,NT East
PARK CENTRAL・PHASE 2・TOWER 3,2,Tseung Kwan O,21,465,15010,617,11312,6.98,23680,4,75,NT East
Park Central・PHASE 1・Tower 8,2,Tseung Kwan O,22,436,14220,581,10671,6.2,21034,5,75,NT East
THE METRO CITY・PHASE 2・TOWER 8,2,Po Lam,24,363,13719,515,9669,4.98,16895,7,70,NT East
THE METRO CITY・PHASE 2・TOWER 8,2,Po Lam,24,441,14739,617,10534,6.5,22052,7,71,NT East
